no_pendaftaran,first_name,last_name,email,gender,asal_sekolah,nilai_mtk,nilai_b_indo,nilai_b_ing,nilai_agama,nilai_penjas,nilai_kimia,nilai_biologi,nilai_fisika,nilai_ppkn,nilai_kesenian,nilai_rata_spmb,keterangan
178,Scotti,Macer,smacer4x@woothemes.com,Laki-laki,SMA 4,7.5,8.5,9,7.5,7.5,6.5,7.5,8,8,9,8.5,tidak lulus
179,Haley,Ligerton,hligerton4y@webeden.co.uk,Perempuan,SMA 3,6.5,7,8,9,6.5,8.5,7.5,7.5,8,8,7.5,pertimbangan
180,Hershel,Durdy,hdurdy4z@nyu.edu,Perempuan,SMA 9,7.5,6.5,8,7,8,8,6.5,6.5,7,6.5,7.5,pertimbangan
181,Lanae,Gligori,lgligori50@ebay.co.uk,Perempuan,SMA 5,7,7.5,7.5,8,6.5,8,9,9,7,8.5,9,lulus
182,Davidson,Godsafe,dgodsafe51@wikimedia.org,Laki-laki,SMA 2,8.5,8.5,9,8,9,6.5,6.5,6.5,6.5,8.5,7.5,lulus
183,Stanfield,MacLese,smaclese52@yandex.ru,Perempuan,SMA 3,9,9,6.5,6.5,6.5,9,7,7,7.5,9,7.5,lulus
184,Tami,Sunshine,tsunshine53@yolasite.com,Laki-laki,SMA 8,8.5,7.5,6.5,7.5,7,6.5,7.5,7.5,7,7,7,lulus
185,Matti,Andrivot,mandrivot54@paginegialle.it,Perempuan,SMA 9,7,7,8,7.5,8,6.5,9,7,6.5,7.5,7.5,pertimbangan
186,Jo ann,Knewstubb,jknewstubb55@sphinn.com,Perempuan,SMA 6,8,8.5,7.5,7,6.5,6.5,7,7,9,9,8,tidak lulus
187,Laryssa,Jirzik,ljirzik56@is.gd,Laki-laki,SMA 5,7.5,9,6.5,6.5,8.5,7.5,7,6.5,8.5,7,6.5,lulus
188,Israel,Gouldeby,igouldeby57@jugem.jp,Laki-laki,SMA 3,8.5,6.5,7.5,9,9,8,9,6.5,8.5,8,7,lulus
189,Haleigh,Thecham,hthecham58@surveymonkey.com,Laki-laki,SMA 4,8.5,8,6.5,8,8.5,6.5,8.5,7,7,8,6.5,lulus
190,Cristian,Farnes,cfarnes59@woothemes.com,Laki-laki,SMA 9,8.5,9,8.5,8,8.5,7,8,7,7,9,9,pertimbangan
191,Diane,Ling,dling5a@yolasite.com,Laki-laki,SMA 10,9,6.5,7.5,8.5,7.5,8.5,6.5,8.5,8,8,7.5,lulus
192,Eveline,Iacovo,eiacovo5b@skype.com,Laki-laki,SMA 1,8,7.5,8.5,8.5,8,8.5,6.5,6.5,7,7.5,7.5,lulus
193,Gerhard,Josilevich,gjosilevich5c@arizona.edu,Perempuan,SMA 7,7,9,6.5,8,8.5,7.5,9,9,9,7.5,6.5,pertimbangan
194,Harriet,Claybourn,hclaybourn5d@t-online.de,Laki-laki,SMA 2,7,7,7,9,7.5,8.5,7,9,9,8,6.5,tidak lulus
195,Evelin,Tomas,etomas5e@dyndns.org,Laki-laki,SMA 6,7,9,7,7.5,9,8.5,9,7.5,7,7.5,8,pertimbangan
196,Maurie,Yansons,myansons5f@taobao.com,Perempuan,SMA 11,8,7.5,9,7,7,8.5,8,9,9,6.5,8.5,lulus
197,Lavinie,Undrell,lundrell5g@qq.com,Laki-laki,SMA 11,9,7.5,7.5,8,7.5,8.5,8.5,8,7,7,8.5,pertimbangan
198,Keri,Tidbury,ktidbury5h@amazonaws.com,Laki-laki,SMA 6,7,6.5,8,9,8.5,8,8,8.5,9,9,7,tidak lulus
199,Ellary,Marfe,emarfe5i@utexas.edu,Laki-laki,SMA 2,8,7.5,7,8,8.5,8,8.5,8,9,6.5,8.5,tidak lulus
200,Cordie,Popple,cpopple5j@si.edu,Perempuan,SMA 1,8.5,8.5,7.5,6.5,6.5,9,8,7.5,7.5,7,7.5,tidak lulus
201,Fredek,Seedull,fseedull5k@skyrock.com,Perempuan,SMA 11,8.5,7.5,9,8.5,8,9,7,8.5,8,9,7.5,pertimbangan
202,Elena,Fewster,efewster5l@furl.net,Laki-laki,SMA 8,9,8,8,8.5,8.5,9,8,7,7,8,9,pertimbangan
203,Orly,Bratch,obratch5m@bbc.co.uk,Laki-laki,SMA 3,7,9,8,7,6.5,7.5,8.5,8,9,7.5,7.5,tidak lulus
204,Noam,Hadgraft,nhadgraft5n@huffingtonpost.com,Laki-laki,SMA 5,6.5,8.5,8.5,9,7,7,9,7,8.5,7,8.5,tidak lulus
205,Marijn,L'oiseau,mloiseau5o@typepad.com,Perempuan,SMA 2,7,7.5,7.5,7,9,8.5,8.5,7,8,9,7.5,tidak lulus
206,Vilma,Kenyon,vkenyon5p@japanpost.jp,Perempuan,SMA 1,6.5,6.5,8,7,7,7,7,7,7,7,6.5,tidak lulus
207,Agathe,Bartzen,abartzen5q@example.com,Perempuan,SMA 9,9,8,9,9,8.5,6.5,8,9,8.5,8,8.5,tidak lulus
208,Emilia,Bolt,ebolt5r@facebook.com,Laki-laki,SMA 9,6.5,7.5,6.5,7,8.5,8,7.5,8,8.5,7.5,7,lulus
209,Herby,Nealand,hnealand5s@nature.com,Perempuan,SMA 8,7,9,7,9,7,9,8,8,8.5,8,9,pertimbangan
210,Joseito,Chatres,jchatres5t@economist.com,Perempuan,SMA 4,7.5,6.5,8.5,7,9,6.5,6.5,9,9,9,6.5,pertimbangan
211,Evelin,Blackall,eblackall5u@ocn.ne.jp,Perempuan,SMA 1,7.5,8.5,8,7,7.5,8,7,9,7,7.5,8.5,lulus
212,Ettie,Stonhewer,estonhewer5v@guardian.co.uk,Perempuan,SMA 10,8.5,9,8.5,9,7,8.5,7.5,8,7.5,7,8,tidak lulus
213,Lazar,Bewsy,lbewsy5w@google.cn,Perempuan,SMA 11,8,6.5,7,8,8,9,8,8.5,8.5,8.5,7,lulus
214,Timmy,Copp,tcopp5x@sakura.ne.jp,Laki-laki,SMA 2,8,7.5,9,8.5,6.5,8,8.5,8.5,6.5,9,8,lulus
215,Madelaine,Newbegin,mnewbegin5y@bandcamp.com,Perempuan,SMA 9,8,6.5,7.5,6.5,7.5,9,8,8,7,9,9,lulus
216,Evonne,Bosenworth,ebosenworth5z@unc.edu,Perempuan,SMA 1,7,7.5,6.5,8,7,7.5,7.5,8.5,8,8,7,tidak lulus
217,Taite,Plascott,tplascott60@alibaba.com,Perempuan,SMA 5,7,7,7.5,9,7.5,7.5,9,6.5,7.5,8.5,9,lulus
218,Haslett,Gemson,hgemson61@hugedomains.com,Laki-laki,SMA 6,6.5,8,8.5,8,7.5,8.5,6.5,9,8.5,7.5,8,pertimbangan
219,Katha,Brooke,kbrooke62@fda.gov,Laki-laki,SMA 5,7.5,9,7,7.5,8,9,6.5,9,6.5,6.5,7,pertimbangan
220,Donall,Chippindale,dchippindale63@ft.com,Laki-laki,SMA 7,7,7,7.5,7,8,6.5,8,8,9,8,8,tidak lulus
221,Sarajane,Marin,smarin64@gravatar.com,Perempuan,SMA 11,8.5,7,7,6.5,6.5,8.5,9,8,9,7,8.5,pertimbangan
222,Virginia,Westhead,vwesthead65@about.me,Perempuan,SMA 8,8,9,9,6.5,7,7.5,9,7,7,6.5,8.5,pertimbangan
223,Patric,Rait,prait66@elpais.com,Perempuan,SMA 4,6.5,7,6.5,9,7.5,8,7,7.5,9,8,6.5,tidak lulus
224,Kristen,Gay,kgay67@exblog.jp,Perempuan,SMA 9,6.5,7.5,7.5,7.5,9,7,7.5,7,9,9,7.5,pertimbangan
225,Chlo,Schneidar,cschneidar68@nytimes.com,Laki-laki,SMA 7,8,6.5,7,6.5,8,6.5,8,8,8,8.5,8,pertimbangan
226,Adham,Harback,aharback69@craigslist.org,Laki-laki,SMA 5,7.5,9,7,7.5,8.5,7.5,8,8,8,8,8.5,pertimbangan
227,Gena,Marzele,gmarzele6a@stumbleupon.com,Perempuan,SMA 10,7.5,8,7,7.5,7.5,7,9,7,8.5,7.5,9,tidak lulus
228,Horace,Napoli,hnapoli6b@icio.us,Laki-laki,SMA 6,7,7.5,7,7.5,8.5,8,7,7.5,9,8.5,7.5,lulus
229,Juditha,Taphouse,jtaphouse6c@wordpress.com,Laki-laki,SMA 5,8,7.5,8,7,9,8,8.5,7,8.5,8.5,7.5,pertimbangan
230,Jerry,Itshak,jitshak6d@cargocollective.com,Perempuan,SMA 11,8.5,7.5,8.5,9,6.5,7.5,8.5,7,8.5,7.5,6.5,tidak lulus
231,Tilda,Dudeney,tdudeney6e@wsj.com,Laki-laki,SMA 3,7.5,6.5,8.5,7,8.5,7.5,8,8,7.5,7,8,lulus
232,Maridel,Knibbs,mknibbs6f@pbs.org,Laki-laki,SMA 10,6.5,7.5,8.5,9,7,6.5,6.5,8,9,8.5,6.5,tidak lulus
233,Brnaba,Nicholas,bnicholas6g@paypal.com,Laki-laki,SMA 4,8.5,8,9,9,7.5,9,6.5,9,7,8,7.5,lulus
234,Tandie,Rogers,trogers6h@myspace.com,Perempuan,SMA 1,9,8,8.5,7,7.5,7.5,9,7.5,8,8.5,7.5,pertimbangan
235,Creigh,Piddletown,cpiddletown6i@mediafire.com,Laki-laki,SMA 9,7.5,9,6.5,8.5,8.5,6.5,8.5,7,8,8,7.5,pertimbangan
236,Thomasin,Matieu,tmatieu6j@hubpages.com,Perempuan,SMA 2,6.5,7.5,7.5,9,8.5,6.5,7,8,8,8,8,pertimbangan
237,Chadwick,Bottoms,cbottoms6k@pinterest.com,Perempuan,SMA 2,7,7,7.5,7,7.5,8.5,6.5,9,9,8,6.5,lulus
238,Hildegaard,Salman,hsalman6l@cornell.edu,Laki-laki,SMA 6,9,7,8,8.5,7,7,8.5,7,8,6.5,7,lulus
239,Christin,Echelle,cechelle6m@umn.edu,Perempuan,SMA 2,6.5,8.5,9,8,8,9,8.5,9,9,7.5,6.5,tidak lulus
240,Jessee,Francillo,jfrancillo6n@geocities.jp,Perempuan,SMA 11,9,7.5,9,7,6.5,8.5,7.5,7.5,9,8.5,7.5,pertimbangan
241,Lou,Scallan,lscallan6o@springer.com,Perempuan,SMA 4,7,8,7.5,6.5,8.5,6.5,8,6.5,7,7.5,8.5,tidak lulus
242,Corabel,Schulter,cschulter6p@google.ru,Laki-laki,SMA 9,6.5,7.5,9,8.5,7.5,6.5,8.5,9,7.5,8,9,pertimbangan
243,Claudina,Mattosoff,cmattosoff6q@webeden.co.uk,Perempuan,SMA 11,6.5,7.5,6.5,8,7.5,9,9,6.5,6.5,8,6.5,lulus
244,Elnore,Lappin,elappin6r@cbc.ca,Perempuan,SMA 5,9,6.5,7.5,8,6.5,7,7,6.5,6.5,8.5,6.5,tidak lulus
245,Wendel,Betchley,wbetchley6s@bing.com,Perempuan,SMA 7,6.5,7.5,8,8,8,8,7,8,6.5,7,8.5,lulus
246,Emili,Toms,etoms6t@microsoft.com,Laki-laki,SMA 2,8,7.5,6.5,7,9,7.5,8,7.5,8,8.5,6.5,pertimbangan
247,Esmaria,Garret,egarret6u@sbwire.com,Perempuan,SMA 7,7,8.5,7.5,8.5,8,8,6.5,6.5,8,6.5,8,pertimbangan
248,Kaila,Brand-Hardy,kbrandhardy6v@google.co.uk,Laki-laki,SMA 2,9,6.5,8.5,6.5,8.5,6.5,7,6.5,8.5,7,7,tidak lulus
249,Keary,Peperell,kpeperell6w@biglobe.ne.jp,Perempuan,SMA 5,8.5,8,9,8,7.5,7,7,6.5,7.5,6.5,8.5,tidak lulus
250,Giffard,Mileham,gmileham6x@issuu.com,Laki-laki,SMA 10,6.5,9,6.5,9,7,7.5,8.5,6.5,7.5,7.5,9,tidak lulus
251,Hersh,McAmish,hmcamish6y@lycos.com,Perempuan,SMA 4,8,7.5,8,7,6.5,6.5,9,9,7,8.5,9,pertimbangan
252,Conrade,Shuttleworth,cshuttleworth6z@virginia.edu,Perempuan,SMA 1,8,7.5,8,7.5,9,9,6.5,7.5,7.5,7,8.5,lulus
253,Kerianne,Wellen,kwellen70@economist.com,Perempuan,SMA 9,6.5,7.5,7.5,8,7.5,7.5,7,9,7.5,6.5,8.5,tidak lulus
254,Harmonie,Dionis,hdionis71@google.ca,Laki-laki,SMA 1,8.5,6.5,8,6.5,8.5,8.5,8.5,6.5,9,8.5,6.5,lulus
255,Gaylene,Vickery,gvickery72@fotki.com,Laki-laki,SMA 7,8,8,8,7.5,7,8,7.5,7,8.5,7.5,8.5,pertimbangan
256,Amery,Tombling,atombling73@prlog.org,Laki-laki,SMA 9,8.5,7.5,8,9,7.5,8,8,7,9,7,8,pertimbangan
257,Taber,Rockingham,trockingham74@reference.com,Perempuan,SMA 8,7.5,7,9,7,7,7.5,9,9,8,8,6.5,tidak lulus
258,Marissa,Woodrow,mwoodrow75@google.cn,Perempuan,SMA 10,9,7.5,7.5,6.5,9,7,8,7,7,9,6.5,tidak lulus
259,Perren,Bruce,pbruce76@miibeian.gov.cn,Laki-laki,SMA 4,6.5,8.5,7.5,9,9,9,6.5,8,6.5,7,7.5,tidak lulus
260,Hermione,Segrave,hsegrave77@home.pl,Perempuan,SMA 7,9,7,6.5,9,7,8.5,7,9,6.5,8,9,lulus
261,Jacobo,Hawtry,jhawtry78@chicagotribune.com,Perempuan,SMA 11,9,8.5,8,7.5,7.5,8,7,9,8,7.5,8,lulus
262,Betti,Brolly,bbrolly79@nationalgeographic.com,Perempuan,SMA 11,9,8.5,6.5,9,8,8.5,7.5,7.5,7.5,8,7.5,lulus
263,Tallie,Lathee,tlathee7a@csmonitor.com,Perempuan,SMA 7,7,8.5,8,7,9,7,7.5,7,8,8,8,pertimbangan
264,Ruthann,Bortolussi,rbortolussi7b@studiopress.com,Laki-laki,SMA 3,9,7.5,6.5,7.5,8.5,6.5,8,7.5,7,7,8.5,lulus
265,Bradley,Haslewood,bhaslewood7c@surveymonkey.com,Laki-laki,SMA 2,6.5,7.5,6.5,9,9,6.5,7,8.5,6.5,8,7.5,lulus
266,Charyl,Gutowska,cgutowska7d@nih.gov,Perempuan,SMA 5,7,6.5,8.5,7,8,7,9,7,8.5,8.5,8.5,pertimbangan
267,Adel,Priver,apriver7e@buzzfeed.com,Perempuan,SMA 8,8.5,8.5,7.5,7,8.5,8,7,8,8.5,7,6.5,pertimbangan
268,Orelia,Szepe,oszepe7f@tinyurl.com,Laki-laki,SMA 2,8.5,9,6.5,6.5,6.5,7,9,8.5,7,8.5,8.5,lulus
269,Leyla,Hazleton,lhazleton7g@time.com,Laki-laki,SMA 6,8.5,7,7,8.5,9,8,8.5,6.5,8,6.5,7,tidak lulus
270,Hardy,Creedland,hcreedland7h@alibaba.com,Perempuan,SMA 11,6.5,8.5,7,7,8,9,6.5,8,8.5,7.5,8,lulus
271,Sherrie,Depka,sdepka7i@goo.ne.jp,Perempuan,SMA 6,7.5,8.5,6.5,6.5,8,7,9,7.5,9,7,8.5,lulus
272,Denyse,Zannini,dzannini7j@4shared.com,Laki-laki,SMA 3,9,7,6.5,8,7.5,6.5,7,8,8,9,7,pertimbangan
273,Marybelle,Sellars,msellars7k@cdbaby.com,Perempuan,SMA 11,6.5,9,7,8.5,8,9,6.5,7.5,8,8.5,7,tidak lulus
274,Kelci,Farndale,kfarndale7l@youtu.be,Laki-laki,SMA 11,9,7.5,8.5,6.5,8,6.5,6.5,8,8.5,9,9,tidak lulus
275,Kinny,Standfield,kstandfield7m@kickstarter.com,Perempuan,SMA 4,7,7.5,7.5,8,7.5,7,8,8,8,8.5,8.5,tidak lulus
276,Tann,Schade,tschade7n@berkeley.edu,Perempuan,SMA 8,8.5,6.5,7,8,8.5,6.5,6.5,7.5,7,7,8,pertimbangan
277,Nelli,Kienl,nkienl7o@accuweather.com,Laki-laki,SMA 2,6.5,8.5,8,7.5,9,7.5,8,7.5,9,9,9,lulus
278,Dietrich,Clynter,dclynter7p@over-blog.com,Perempuan,SMA 3,8.5,7.5,9,9,9,7,8.5,8,8.5,7,6.5,tidak lulus
279,Ford,Walcar,fwalcar7q@scientificamerican.com,Perempuan,SMA 3,9,7,6.5,9,8,7.5,7.5,8,9,7,9,lulus
280,Gregory,Gosney,ggosney7r@arizona.edu,Laki-laki,SMA 4,8,8.5,7.5,9,7.5,7,7,9,7,7,8.5,pertimbangan
281,Mureil,Le Marquis,mlemarquis7s@weebly.com,Laki-laki,SMA 2,6.5,9,8,8.5,9,7,6.5,9,8,8,8,lulus
282,Steven,Cicutto,scicutto7t@walmart.com,Perempuan,SMA 11,9,7.5,7,7.5,8.5,8.5,6.5,8,8.5,6.5,7,pertimbangan
283,Dion,Squires,dsquires7u@last.fm,Laki-laki,SMA 1,8,7,8,7,8.5,9,7,7,9,7,8.5,pertimbangan
284,Rafaela,Kowal,rkowal7v@blog.com,Laki-laki,SMA 4,9,6.5,6.5,7,8,7,7.5,7,6.5,9,9,tidak lulus
285,Corbett,Brazener,cbrazener7w@google.pl,Perempuan,SMA 4,7,6.5,8.5,8.5,6.5,8.5,8,8.5,9,7,6.5,pertimbangan
286,Damaris,Nutton,dnutton7x@washington.edu,Perempuan,SMA 9,8.5,7.5,9,8.5,8,7,7,8.5,7.5,7,8.5,tidak lulus
287,Michel,Fairhall,mfairhall7y@hostgator.com,Perempuan,SMA 1,6.5,7.5,9,7,9,9,7,6.5,7.5,6.5,7.5,tidak lulus
288,Thatcher,Tiley,ttiley7z@unblog.fr,Laki-laki,SMA 8,7.5,7,6.5,8.5,8.5,8,7.5,7.5,7.5,7,8.5,tidak lulus
289,Lissi,Smardon,lsmardon80@fema.gov,Laki-laki,SMA 2,7.5,7.5,8,9,6.5,7.5,7.5,8,6.5,8.5,8.5,lulus
290,Gilbertina,Armfield,garmfield81@topsy.com,Perempuan,SMA 6,7,7,8,7.5,9,7,6.5,8.5,6.5,7.5,7,pertimbangan
291,Darla,Ossulton,dossulton82@mediafire.com,Perempuan,SMA 4,9,9,8,7.5,6.5,9,6.5,8.5,7.5,8,8.5,tidak lulus
292,Vincent,Tollmache,vtollmache83@japanpost.jp,Perempuan,SMA 9,9,7.5,8,8,7,7,7,7,6.5,8.5,8.5,lulus
293,Antonina,Woloschin,awoloschin84@slideshare.net,Laki-laki,SMA 7,8.5,8,6.5,6.5,7,9,6.5,7.5,8,9,6.5,pertimbangan
294,Leola,Hynard,lhynard85@blogspot.com,Laki-laki,SMA 11,7.5,8,8.5,7.5,9,8,9,7.5,7,6.5,6.5,lulus
295,Nixie,Teresse,nteresse86@miitbeian.gov.cn,Perempuan,SMA 10,8,8,8,9,7,6.5,7.5,9,8.5,6.5,9,tidak lulus
296,Kalina,Petrusch,kpetrusch87@go.com,Perempuan,SMA 5,6.5,8.5,7,7.5,7.5,7.5,6.5,7.5,8.5,9,6.5,lulus
297,Melinda,Lober,mlober88@statcounter.com,Perempuan,SMA 3,8.5,8.5,8,7.5,9,7,6.5,7,7,7.5,7.5,tidak lulus
298,Alvy,Tomasi,atomasi89@nyu.edu,Perempuan,SMA 10,8.5,6.5,9,7.5,8,8,8.5,8.5,8.5,8,7,tidak lulus
299,Royall,Gostridge,rgostridge8a@ameblo.jp,Perempuan,SMA 5,8.5,6.5,7.5,7,7,9,8.5,8.5,7,7,7,tidak lulus
300,Nowell,Dunn,ndunn8b@alibaba.com,Perempuan,SMA 7,8.5,8.5,7.5,7,8.5,7.5,9,8.5,9,9,7.5,pertimbangan
301,Caresse,Igo,cigo8c@oaic.gov.au,Perempuan,SMA 2,7,6.5,9,9,8,8,7.5,8.5,8.5,9,8,lulus
302,Darelle,Holleran,dholleran8d@icio.us,Perempuan,SMA 7,6.5,6.5,9,8.5,6.5,7,9,7.5,8.5,6.5,6.5,pertimbangan
303,Rudiger,Adan,radan8e@canalblog.com,Laki-laki,SMA 11,6.5,8.5,7.5,9,8,8,9,8,8.5,6.5,8.5,tidak lulus
304,Hobey,Lamond,hlamond8f@shinystat.com,Laki-laki,SMA 5,8.5,7.5,7,7,7.5,8.5,8.5,7,8,7.5,6.5,pertimbangan
305,Walther,Dummett,wdummett8g@simplemachines.org,Laki-laki,SMA 11,7.5,8.5,7,7.5,7,8.5,9,7.5,6.5,8,8,tidak lulus
306,Zara,Asey,zasey8h@ycombinator.com,Perempuan,SMA 3,6.5,6.5,9,6.5,7,7.5,9,9,9,6.5,7.5,lulus
307,Tanner,MacDermott,tmacdermott8i@purevolume.com,Laki-laki,SMA 7,7.5,8,7.5,9,6.5,8,6.5,8,7,7,9,pertimbangan
308,Chelsey,Steinhammer,csteinhammer8j@webnode.com,Perempuan,SMA 2,9,8,9,7.5,8.5,6.5,8,8,7.5,7.5,6.5,lulus
309,Sibby,Capell,scapell8k@washingtonpost.com,Laki-laki,SMA 9,9,6.5,6.5,8.5,9,8,6.5,7,7,8,8,pertimbangan
310,Joni,Mead,jmead8l@hexun.com,Perempuan,SMA 10,8,7.5,8,7.5,7.5,7.5,8,9,8.5,7.5,9,lulus
311,Flo,Breach,fbreach8m@businessweek.com,Perempuan,SMA 10,6.5,6.5,8,9,9,9,9,7,8,9,8,lulus
312,Dalila,Symones,dsymones8n@bluehost.com,Laki-laki,SMA 1,8.5,7,9,9,8,8.5,8.5,8.5,6.5,9,8.5,lulus
313,Sharai,Dukes,sdukes8o@yellowpages.com,Laki-laki,SMA 10,7.5,7.5,6.5,8.5,8.5,7,7.5,7,6.5,7.5,7.5,pertimbangan
314,Rory,Spedding,rspedding8p@hugedomains.com,Perempuan,SMA 2,7,9,9,7.5,8,7.5,8,8,7.5,8,7.5,lulus
315,Wit,O'Doogan,wodoogan8q@smh.com.au,Perempuan,SMA 10,7.5,9,7.5,8,7.5,6.5,9,9,9,8,9,tidak lulus
316,Hubert,Cohen,hcohen8r@state.gov,Laki-laki,SMA 8,8.5,9,6.5,7.5,8.5,7.5,7.5,7,8,7.5,8,pertimbangan
317,Auguste,Udden,audden8s@chron.com,Laki-laki,SMA 11,7.5,8.5,7.5,9,8,6.5,9,9,9,8.5,7.5,tidak lulus
318,Casandra,Rae,crae8t@oakley.com,Laki-laki,SMA 8,9,7,8,8,7.5,8.5,6.5,7.5,7.5,7,8,tidak lulus
319,Dianemarie,Markwick,dmarkwick8u@dyndns.org,Perempuan,SMA 9,8.5,9,8,7.5,7,8.5,7,7.5,6.5,9,6.5,pertimbangan
320,Cathrine,Spino,cspino8v@zimbio.com,Laki-laki,SMA 5,8.5,7,7,8,7,8.5,6.5,7,6.5,6.5,7,pertimbangan
321,Hymie,Thurber,hthurber8w@ca.gov,Perempuan,SMA 9,6.5,7.5,9,8,8.5,7.5,6.5,9,6.5,7,6.5,tidak lulus
322,Cordi,Luto,cluto8x@army.mil,Perempuan,SMA 9,8,8.5,9,7,7,7,8.5,9,6.5,7.5,9,pertimbangan
323,Oralie,O' Molan,oomolan8y@instagram.com,Laki-laki,SMA 9,8.5,8.5,6.5,6.5,8,7.5,6.5,9,7.5,8,7.5,pertimbangan
324,Nanni,Saunier,nsaunier8z@storify.com,Laki-laki,SMA 8,9,9,7,8,6.5,8,8,7.5,9,8,8.5,tidak lulus
325,Suzy,Puttrell,sputtrell90@pen.io,Perempuan,SMA 4,9,7.5,9,9,7,9,8.5,7,7,7,6.5,pertimbangan
326,Kamilah,Cars,kcars91@mysql.com,Perempuan,SMA 3,8.5,8,7.5,8,7,7,6.5,7,9,7,9,tidak lulus
327,Dulcie,Deas,ddeas92@howstuffworks.com,Laki-laki,SMA 9,8,6.5,7.5,9,6.5,6.5,7,7,9,9,9,tidak lulus
328,Lynn,Buxam,lbuxam93@seattletimes.com,Perempuan,SMA 1,7.5,8.5,6.5,8.5,7,9,7.5,8.5,7,7,8.5,pertimbangan
329,Merrill,Anthill,manthill94@sfgate.com,Laki-laki,SMA 11,9,7.5,8.5,9,6.5,7,8,8.5,7,7.5,7.5,lulus
330,Brewer,Janusz,bjanusz95@google.it,Perempuan,SMA 6,9,7.5,7.5,6.5,7.5,7,8,7,8.5,8,7.5,lulus
331,Evelina,Bantock,ebantock96@usgs.gov,Laki-laki,SMA 9,7.5,8.5,7.5,6.5,6.5,8,7,9,7.5,6.5,8.5,tidak lulus
332,Donny,Grimolbie,dgrimolbie97@youtube.com,Perempuan,SMA 1,8.5,8,6.5,9,7,7,7,8.5,7,9,6.5,pertimbangan
333,Tan,Wrack,twrack98@kickstarter.com,Laki-laki,SMA 4,8.5,9,7,7.5,8.5,6.5,7.5,9,7.5,7.5,7.5,tidak lulus
334,Ashley,Huxham,ahuxham99@google.co.jp,Perempuan,SMA 6,6.5,6.5,8,6.5,7.5,8.5,8,9,9,9,7,lulus
335,Yoshi,Plaskitt,yplaskitt9a@kickstarter.com,Perempuan,SMA 2,7,7.5,9,8,7,7.5,8.5,6.5,8,9,7.5,tidak lulus
336,Eugine,Disman,edisman9b@drupal.org,Laki-laki,SMA 10,7.5,7,6.5,7.5,7,8,7.5,7,8,8,7.5,tidak lulus
337,Tyson,Meech,tmeech9c@geocities.com,Perempuan,SMA 10,7,8,8,9,7,7.5,6.5,8.5,8,8.5,7,lulus
338,Glynn,Gillison,ggillison9d@123-reg.co.uk,Perempuan,SMA 7,9,6.5,8,8.5,7.5,7.5,9,7,7,8,7.5,pertimbangan
339,Perice,Dyet,pdyet9e@princeton.edu,Perempuan,SMA 5,7,8.5,7.5,7.5,7,8.5,7,7.5,9,7.5,6.5,tidak lulus
340,Carce,Newiss,cnewiss9f@spiegel.de,Perempuan,SMA 4,6.5,6.5,8,9,8.5,8.5,6.5,6.5,6.5,7,9,lulus
341,Joelle,Haspineall,jhaspineall9g@home.pl,Laki-laki,SMA 3,7,6.5,8.5,7.5,9,6.5,7.5,8.5,7,6.5,7.5,tidak lulus
342,Gipsy,Aisbett,gaisbett9h@list-manage.com,Perempuan,SMA 9,7.5,9,6.5,6.5,7.5,7.5,7.5,8,8.5,7.5,9,tidak lulus
343,Clarey,Margeram,cmargeram9i@tinyurl.com,Laki-laki,SMA 2,7.5,7,7,7,8,9,9,6.5,9,9,9,pertimbangan
344,Kasper,MacNelly,kmacnelly9j@weibo.com,Laki-laki,SMA 10,7,7,7.5,6.5,7,7,8.5,7.5,8,8.5,8,pertimbangan
345,Brandise,Evetts,bevetts9k@trellian.com,Laki-laki,SMA 1,8.5,7,7.5,6.5,7,7,9,7.5,8,8,7,pertimbangan
346,Lyn,Graffin,lgraffin9l@japanpost.jp,Perempuan,SMA 1,8,8,6.5,8.5,9,7,6.5,9,7.5,7.5,6.5,pertimbangan
347,Izak,Po,ipo9m@ameblo.jp,Laki-laki,SMA 10,8,7,8.5,8,9,6.5,6.5,7.5,7.5,9,7.5,pertimbangan
348,Tally,Shimon,tshimon9n@wordpress.org,Perempuan,SMA 2,6.5,8,6.5,7.5,6.5,8,8,6.5,9,8,7,pertimbangan
349,Analise,Barwack,abarwack9o@google.cn,Laki-laki,SMA 3,6.5,6.5,9,7,7,7.5,8,6.5,6.5,7,6.5,pertimbangan
350,Annalee,Justis,ajustis9p@bizjournals.com,Laki-laki,SMA 9,6.5,7.5,9,9,6.5,7,7.5,7,8,7.5,7.5,lulus
351,Gerik,Lethcoe,glethcoe9q@skyrock.com,Perempuan,SMA 4,7.5,7,8.5,7,7.5,6.5,8,8.5,9,8,7.5,pertimbangan
352,Anestassia,Hinsch,ahinsch9r@ftc.gov,Perempuan,SMA 5,7.5,8,6.5,8.5,8.5,8.5,7.5,7,8.5,8,7.5,tidak lulus
353,Trenton,Treagust,ttreagust9s@so-net.ne.jp,Laki-laki,SMA 3,7,8,8,7.5,7,7.5,8,9,6.5,6.5,7,pertimbangan
354,Alie,Sellstrom,asellstrom9t@parallels.com,Perempuan,SMA 3,9,9,7.5,9,7.5,8,8.5,6.5,8.5,6.5,9,tidak lulus
355,Garrek,Gaynsford,ggaynsford9u@mapy.cz,Laki-laki,SMA 6,9,8.5,6.5,6.5,7.5,8.5,7,8.5,8.5,9,9,pertimbangan
